CENSUS2010POP ,LOCATION
"22,637",".Payette County, Idaho"
"7,872",".Power County, Idaho"
"12,749",".Shoshone County, Idaho"
"10,151",".Teton County, Idaho"
"77,545",".Twin Falls County, Idaho"
"9,788",".Valley County, Idaho"
"10,177",".Washington County, Idaho"
"67,160",".Adams County, Illinois"
"8,206",".Alexander County, Illinois"
"17,787",".Bond County, Illinois"
"54,101",".Boone County, Illinois"
"6,919",".Brown County, Illinois"
"34,959",".Bureau County, Illinois"
"5,096",".Calhoun County, Illinois"
"15,394",".Carroll County, Illinois"
"13,633",".Cass County, Illinois"
"201,546",".Champaign County, Illinois"
"34,763",".Christian County, Illinois"
"16,291",".Clark County, Illinois"
"13,826",".Clay County, Illinois"
"37,843",".Clinton County, Illinois"
"53,866",".Coles County, Illinois"
"5,199,016",".Cook County, Illinois"
"19,801",".Crawford County, Illinois"
"11,053",".Cumberland County, Illinois"
"105,145",".DeKalb County, Illinois"
"16,590",".De Witt County, Illinois"
"19,983",".Douglas County, Illinois"
"917,983",".DuPage County, Illinois"
"18,508",".Edgar County, Illinois"
"6,734",".Edwards County, Illinois"
"34,224",".Effingham County, Illinois"
"22,131",".Fayette County, Illinois"
"14,081",".Ford County, Illinois"
"40,035",".Franklin County, Illinois"
"37,076",".Fulton County, Illinois"
"5,573",".Gallatin County, Illinois"
"13,890",".Greene County, Illinois"
"50,154",".Grundy County, Illinois"
"8,446",".Hamilton County, Illinois"
"19,091",".Hancock County, Illinois"
"4,319",".Hardin County, Illinois"
"7,343",".Henderson County, Illinois"
"50,452",".Henry County, Illinois"
"29,701",".Iroquois County, Illinois"
"60,373",".Jackson County, Illinois"
"9,725",".Jasper County, Illinois"
"38,755",".Jefferson County, Illinois"
"22,995",".Jersey County, Illinois"
"22,648",".Jo Daviess County, Illinois"
"12,604",".Johnson County, Illinois"
"516,068",".Kane County, Illinois"
"113,418",".Kankakee County, Illinois"
"115,373",".Kendall County, Illinois"
"52,912",".Knox County, Illinois"
"704,170",".Lake County, Illinois"
"113,823",".LaSalle County, Illinois"
"16,940",".Lawrence County, Illinois"
"35,983",".Lee County, Illinois"
"38,854",".Livingston County, Illinois"
"30,283",".Logan County, Illinois"
"32,634",".McDonough County, Illinois"
"309,112",".McHenry County, Illinois"
"169,810",".McLean County, Illinois"
"110,787",".Macon County, Illinois"
"47,797",".Macoupin County, Illinois"
"269,310",".Madison County, Illinois"
"39,416",".Marion County, Illinois"
"12,637",".Marshall County, Illinois"
"14,651",".Mason County, Illinois"
"15,380",".Massac County, Illinois"
"12,696",".Menard County, Illinois"
"16,409",".Mercer County, Illinois"
"32,994",".Monroe County, Illinois"
"30,097",".Montgomery County, Illinois"
"35,503",".Morgan County, Illinois"
"14,859",".Moultrie County, Illinois"
"53,414",".Ogle County, Illinois"
"186,222",".Peoria County, Illinois"
"22,315",".Perry County, Illinois"
"16,709",".Piatt County, Illinois"
"16,394",".Pike County, Illinois"
"4,474",".Pope County, Illinois"
"6,126",".Pulaski County, Illinois"
"6,012",".Putnam County, Illinois"
"33,464",".Randolph County, Illinois"
"16,194",".Richland County, Illinois"
"147,610",".Rock Island County, Illinois"
"270,353",".St. Clair County, Illinois"
"24,902",".Saline County, Illinois"
"197,769",".Sangamon County, Illinois"
"7,535",".Schuyler County, Illinois"
"5,327",".Scott County, Illinois"
